h1,h2,iteration,learning_rate,ReLu_testError
6,6,800,0.0002200,0.2527247
6,6,800,0.0002500,0.2442180
6,6,800,0.0002800,0.2518518
6,6,800,0.0003100,0.4999741
6,6,1000,0.0000100,0.6133860
6,6,1000,0.0000400,0.1740977
6,6,1000,0.0000700,0.1056448
6,6,1000,0.0001000,0.0847858
6,6,1000,0.0001300,0.0756368
6,6,1000,0.0001600,0.2586803
6,6,1000,0.0001900,0.2492569
6,6,1000,0.0002200,0.2383822
6,6,1000,0.0002500,0.2357804
6,6,1000,0.0002800,0.2482247
6,6,1000,0.0003100,0.4999741
6,6,1500,0.0000100,0.4957760
6,6,1500,0.0000400,0.1175434
6,6,1500,0.0000700,0.0827811
6,6,1500,0.0001000,0.0723272
6,6,1500,0.0001300,0.0706271
6,6,1500,0.0001600,0.2409452
6,6,1500,0.0001900,0.2359673
6,6,1500,0.0002200,0.2349832
6,6,1500,0.0002500,0.2344016
6,6,1500,0.0002800,0.2374271
6,6,1500,0.0003100,0.4999741
6,6,2000,0.0000100,0.3701845
6,6,2000,0.0000400,0.0976410
6,6,2000,0.0000700,0.0737159
6,6,2000,0.0001000,0.0706726
6,6,2000,0.0001300,0.0733954
6,6,2000,0.0001600,0.2362864
6,6,2000,0.0001900,0.2361005
6,6,2000,0.0002200,0.2361596
6,6,2000,0.0002500,0.2357108
6,6,2000,0.0002800,0.2353980
6,6,2000,0.0003100,0.4999741
6,6,3000,0.0000100,0.2308154
6,6,3000,0.0000400,0.0776924
6,6,3000,0.0000700,0.0710803
6,6,3000,0.0001000,0.0763266
6,6,3000,0.0001300,0.0821043
6,6,3000,0.0001600,0.2365801
6,6,3000,0.0001900,0.2376656
6,6,3000,0.0002200,0.2396671
6,6,3000,0.0002500,0.2380971
6,6,3000,0.0002800,0.2392448
6,6,3000,0.0003100,0.4999741
6,6,4000,0.0000100,0.1756332
6,6,4000,0.0000400,0.0714436
6,6,4000,0.0000700,0.0748300
6,6,4000,0.0001000,0.0827802
6,6,4000,0.0001300,0.0893435
6,6,4000,0.0001600,0.2390225
6,6,4000,0.0001900,0.2405023
6,6,4000,0.0002200,0.2423914
6,6,4000,0.0002500,0.2400931
6,6,4000,0.0002800,0.2409551
6,6,4000,0.0003100,0.4999741
6,6,5000,0.0000100,0.1379574
6,6,5000,0.0000400,0.0706974
6,6,5000,0.0000700,0.0796864
6,6,5000,0.0001000,0.0892887
6,6,5000,0.0001300,0.0952346
6,6,5000,0.0001600,0.2411673
6,6,5000,0.0001900,0.2425916
6,6,5000,0.0002200,0.2409114
6,6,5000,0.0002500,0.2418721
6,6,5000,0.0002800,0.2408349
6,6,5000,0.0003100,0.4999741
6,7,500,0.0000100,0.6013637
6,7,500,0.0000400,0.6079028
6,7,500,0.0000700,0.7272727
6,7,500,0.0001000,0.7913216
6,7,500,0.0001300,0.8022864
6,7,500,0.0001600,0.8079035
6,7,500,0.0001900,0.8118024
6,7,500,0.0002200,0.8129482
6,7,500,0.0002500,0.6420409
6,7,500,0.0002800,0.5006532
6,7,500,0.0003100,0.5010093
6,7,800,0.0000100,0.5957199
6,7,800,0.0000400,0.6079692
6,7,800,0.0000700,0.8107180
6,7,800,0.0001000,0.8174027
6,7,800,0.0001300,0.8202598
6,7,800,0.0001600,0.8222815
6,7,800,0.0001900,0.8240581
6,7,800,0.0002200,0.8248885
6,7,800,0.0002500,0.6435755
6,7,800,0.0002800,0.5002100
6,7,800,0.0003100,0.5004157
6,7,1000,0.0000100,0.5959367
6,7,1000,0.0000400,0.6066219
6,7,1000,0.0000700,0.8206278
6,7,1000,0.0001000,0.8239676
6,7,1000,0.0001300,0.8255628
6,7,1000,0.0001600,0.8267625
6,7,1000,0.0001900,0.8278511
6,7,1000,0.0002200,0.8283745
6,7,1000,0.0002500,0.6440801
6,7,1000,0.0002800,0.5000987
6,7,1000,0.0003100,0.5002310
6,7,1500,0.0000100,0.6093538
6,7,1500,0.0000400,0.6042490
6,7,1500,0.0000700,0.8290684
6,7,1500,0.0001000,0.8293528
6,7,1500,0.0001300,0.8289031
6,7,1500,0.0001600,0.8274695
6,7,1500,0.0001900,0.8231603
6,7,1500,0.0002200,0.8140581
6,7,1500,0.0002500,0.6446842
6,7,1500,0.0002800,0.5000150
6,7,1500,0.0003100,0.5000533
6,7,2000,0.0000100,0.6129419
6,7,2000,0.0000400,0.6028488
6,7,2000,0.0000700,0.8229458
6,7,2000,0.0001000,0.8047563
6,7,2000,0.0001300,0.7526156
6,7,2000,0.0001600,0.5252149
6,7,2000,0.0001900,0.4024428
6,7,2000,0.0002200,0.3811836
6,7,2000,0.0002500,0.6448914
6,7,2000,0.0002800,0.5000023
6,7,2000,0.0003100,0.5000123
6,7,3000,0.0000100,0.6113603
6,7,3000,0.0000400,0.6020588
6,7,3000,0.0000700,0.4654581
6,7,3000,0.0001000,0.3886278
6,7,3000,0.0001300,0.3667040
6,7,3000,0.0001600,0.3589189
6,7,3000,0.0001900,0.3571415
6,7,3000,0.0002200,0.3569412
6,7,3000,0.0002500,0.6448920
6,7,3000,0.0002800,0.5000001
6,7,3000,0.0003100,0.5000007
6,7,4000,0.0000100,0.6088536
6,7,4000,0.0000400,0.6018247
6,7,4000,0.0000700,0.3818009
6,7,4000,0.0001000,0.3599534
6,7,4000,0.0001300,0.3571618
6,7,4000,0.0001600,0.3568930
6,7,4000,0.0001900,0.3566844
6,7,4000,0.0002200,0.3564685
6,7,4000,0.0002500,0.8230494
6,7,4000,0.0002800,0.5000000
6,7,4000,0.0003100,0.5000000
6,7,5000,0.0000100,0.6069767
6,7,5000,0.0000400,0.6016999
6,7,5000,0.0000700,0.3611031
6,7,5000,0.0001000,0.3570352
6,7,5000,0.0001300,0.3567263
6,7,5000,0.0001600,0.3565132
6,7,5000,0.0001900,0.3563443
6,7,5000,0.0002200,0.3561675
6,7,5000,0.0002500,0.8102625
6,7,5000,0.0002800,0.5000000
6,7,5000,0.0003100,0.5000000
6,8,500,0.0000100,0.6578121
6,8,500,0.0000400,0.4442355
6,8,500,0.0000700,0.4043468
6,8,500,0.0001000,0.7104023
6,8,500,0.0001300,0.6268030
6,8,500,0.0001600,0.6803467
6,8,500,0.0001900,0.8068039
6,8,500,0.0002200,0.8093920
6,8,500,0.0002500,0.8112370
6,8,500,0.0002800,0.8126099
6,8,500,0.0003100,0.8136721
6,8,800,0.0000100,0.6592986
6,8,800,0.0000400,0.4061273
6,8,800,0.0000700,0.3795860
6,8,800,0.0001000,0.5006065
6,8,800,0.0001300,0.4160952
6,8,800,0.0001600,0.4128575
6,8,800,0.0001900,0.8164663
6,8,800,0.0002200,0.8178866
6,8,800,0.0002500,0.8188448
6,8,800,0.0002800,0.8195185
6,8,800,0.0003100,0.8200182
6,8,1000,0.0000100,0.6430584
6,8,1000,0.0000400,0.3949587
6,8,1000,0.0000700,0.3628875
6,8,1000,0.0001000,0.4166997
6,8,1000,0.0001300,0.3719046
6,8,1000,0.0001600,0.3663127
6,8,1000,0.0001900,0.8205470
6,8,1000,0.0002200,0.8215662
6,8,1000,0.0002500,0.8222123
6,8,1000,0.0002800,0.8226343
6,8,1000,0.0003100,0.8229266
6,8,1500,0.0000100,0.5508123
6,8,1500,0.0000400,0.3729110
6,8,1500,0.0000700,0.3184570
6,8,1500,0.0001000,0.3574520
6,8,1500,0.0001300,0.3534969
6,8,1500,0.0001600,0.3531596
6,8,1500,0.0001900,0.8265282
6,8,1500,0.0002200,0.8269177
6,8,1500,0.0002500,0.8270837
6,8,1500,0.0002800,0.8271329
6,8,1500,0.0003100,0.8271269
6,8,2000,0.0000100,0.4558779
6,8,2000,0.0000400,0.3479507
6,8,2000,0.0000700,0.2858619
6,8,2000,0.0001000,0.3534089
6,8,2000,0.0001300,0.3528398
6,8,2000,0.0001600,0.3526752
6,8,2000,0.0001900,0.8277294
6,8,2000,0.0002200,0.8271908
6,8,2000,0.0002500,0.8266962
6,8,2000,0.0002800,0.8263338
6,8,2000,0.0003100,0.8260879
6,8,3000,0.0000100,0.4108694
6,8,3000,0.0000400,0.3012418
6,8,3000,0.0000700,0.2591901
6,8,3000,0.0001000,0.3527193
6,8,3000,0.0001300,0.3523913
6,8,3000,0.0001600,0.3522088
6,8,3000,0.0001900,0.4937418
6,8,3000,0.0002200,0.4227903
6,8,3000,0.0002500,0.4066035
6,8,3000,0.0002800,0.4017790
6,8,3000,0.0003100,0.3996300
6,8,4000,0.0000100,0.3968057
6,8,4000,0.0000400,0.2749502
6,8,4000,0.0000700,0.2484310
6,8,4000,0.0001000,0.3523859
6,8,4000,0.0001300,0.3522062
6,8,4000,0.0001600,0.3521403
6,8,4000,0.0001900,0.3866070
6,8,4000,0.0002200,0.3882958
6,8,4000,0.0002500,0.3885906
6,8,4000,0.0002800,0.3930667
6,8,4000,0.0003100,0.3934916
6,8,5000,0.0000100,0.3850783
6,8,5000,0.0000400,0.2611878
6,8,5000,0.0000700,0.2439798
6,8,5000,0.0001000,0.3522410
6,8,5000,0.0001300,0.3521486
6,8,5000,0.0001600,0.3520450
6,8,5000,0.0001900,0.3675801
6,8,5000,0.0002200,0.3882195
6,8,5000,0.0002500,0.3885364
6,8,5000,0.0002800,0.3936731
6,8,5000,0.0003100,0.3939028
7,5,500,0.0000100,0.6294375
7,5,500,0.0000400,0.5666426
7,5,500,0.0000700,0.5409655
7,5,500,0.0001000,0.5316375
7,5,500,0.0001300,0.5273192
7,5,500,0.0001600,0.5249520
7,5,500,0.0001900,0.5233898
7,5,500,0.0002200,0.5222174
7,5,500,0.0002500,0.5212537
7,5,500,0.0002800,0.5204385
7,5,500,0.0003100,0.5197923
7,5,800,0.0000100,0.6145112
