h1,h2,iteration,learning_rate,sigmoid_testError,tanh_testError
2,3,5000,0.021,0.072807742,0.890463487
2,3,5000,0.031,0.353393276,1.999685212
2,3,5000,0.041,0.355374824,1.99999918
2,3,5000,0.051,0.354663263,1.999999627
2,3,5000,0.061,0.356488023,1.999993305
2,3,5000,0.071,0.890462833,1.999999394
2,3,5000,0.081,0.890462536,1.999999985
2,3,5000,0.091,0.890462963,1.999999983
2,3,5000,0.101,0.890462961,1.999999998
2,4,500,0.001,0.823554328,0.364609558
2,4,500,0.011,0.406980064,0.890487946
2,4,500,0.021,0.382414583,1.997241182
2,4,500,0.031,0.361277465,1.999922824
2,4,500,0.041,0.36176802,1.999893031
2,4,500,0.051,0.37057426,1.999999828
2,4,500,0.061,0.343085313,3.999981778
2,4,500,0.071,0.375297601,3.999999274
2,4,500,0.081,0.889573429,5.996657602
2,4,500,0.091,0.890462963,5.999932807
2,4,500,0.101,0.890375797,5.999964915
2,4,800,0.001,0.746140521,0.360350208
2,4,800,0.011,0.387928913,0.890465227
2,4,800,0.021,0.346297097,1.883286311
2,4,800,0.031,0.344981634,1.999995019
2,4,800,0.041,0.355825871,1.913926803
2,4,800,0.051,0.890481378,1.999999828
2,4,800,0.061,0.350796707,3.999967881
2,4,800,0.071,0.889930256,3.999999263
2,4,800,0.081,0.890462644,2
2,4,800,0.091,0.890462963,1.999997683
2,4,800,0.101,0.890422792,5.999696526
2,4,1000,0.001,0.693695439,0.358828717
2,4,1000,0.011,0.380932521,0.890454466
2,4,1000,0.021,0.325842054,0.815343803
2,4,1000,0.031,0.319127066,1.999994709
2,4,1000,0.041,0.233225467,1.999990986
2,4,1000,0.051,0.890477553,1.999999827
2,4,1000,0.061,0.890460743,3.999925769
2,4,1000,0.071,0.888982822,3.999999255
2,4,1000,0.081,0.890462844,2
2,4,1000,0.091,0.890462963,1.999997519
2,4,1000,0.101,0.590137714,1.999999996
2,4,1500,0.001,0.585144262,0.356794769
2,4,1500,0.011,0.349646157,0.890423199
2,4,1500,0.021,0.303435468,0.873587803
2,4,1500,0.031,0.322054282,1.999993679
2,4,1500,0.041,0.090561376,1.999987189
2,4,1500,0.051,0.890472604,1.999999827
2,4,1500,0.061,0.890460584,2
2,4,1500,0.071,0.890452676,3.999999236
2,4,1500,0.081,0.890462844,2
2,4,1500,0.091,0.890462963,1.99999697
2,4,1500,0.101,0.899614704,1.999999996
2,4,2000,0.001,0.518454137,0.355809402
2,4,2000,0.011,0.30913269,0.890283733
2,4,2000,0.021,0.115109125,0.878481927
2,4,2000,0.031,0.35473646,1.99999202
2,4,2000,0.041,0.087647073,1.999977764
2,4,2000,0.051,0.890470164,1.999999826
2,4,2000,0.061,0.890460399,2
2,4,2000,0.071,0.890461378,3.999999215
2,4,2000,0.081,0.890462843,2
2,4,2000,0.091,0.890462963,1.999996074
2,4,2000,0.101,0.890463116,1.999999996
2,4,3000,0.001,0.4549456,0.354931973
2,4,3000,0.011,0.338991992,0.890464102
2,4,3000,0.021,0.083993591,0.875056818
2,4,3000,0.031,0.35335006,1.999981042
2,4,3000,0.041,0.12532835,1.999921329
2,4,3000,0.051,0.890467713,1.999999824
2,4,3000,0.061,0.890459916,2
2,4,3000,0.071,0.890461278,3.999999171
2,4,3000,0.081,0.890462842,2
2,4,3000,0.091,0.890462963,1.999989548
2,4,3000,0.101,0.890462557,1.999999996
2,4,4000,0.001,0.427283942,0.354891107
2,4,4000,0.011,0.079467484,0.8904639
2,4,4000,0.021,0.116490731,0.875037667
2,4,4000,0.031,0.331142482,1.999998518
2,4,4000,0.041,0.124030671,1.999999993
2,4,4000,0.051,0.890466466,1.999999823
2,4,4000,0.061,0.890459182,2
2,4,4000,0.071,0.890461098,3.999999121
2,4,4000,0.081,0.89046284,2
2,4,4000,0.091,0.890462963,1.999999709
2,4,4000,0.101,0.890462543,1.999999996
2,4,5000,0.001,0.412205876,0.356082298
2,4,5000,0.011,0.09612153,0.890463737
2,4,5000,0.021,0.124135303,0.875011767
2,4,5000,0.031,0.351917202,1.999998427
2,4,5000,0.041,0.126394727,1.999999993
2,4,5000,0.051,0.890465703,1.999999821
2,4,5000,0.061,0.890457918,2
2,4,5000,0.071,0.890460869,3.999999064
2,4,5000,0.081,0.890462839,2
2,4,5000,0.091,0.890462963,1.999999689
2,4,5000,0.101,0.890462528,1.999999996
2,5,500,0.001,0.890296751,0.890566125
2,5,500,0.011,0.397229086,0.890439145
2,5,500,0.021,0.337083341,1.997737785
2,5,500,0.031,0.361932603,1.999981499
2,5,500,0.041,0.890586559,1.999999325
2,5,500,0.051,0.890443035,1.999995975
2,5,500,0.061,0.884906466,1.999999995
2,5,500,0.071,0.890436951,1.999989196
2,5,500,0.081,0.890461124,1.999998298
2,5,500,0.091,0.890324377,1.999999604
2,5,500,0.101,0.890471792,1.999999531
2,5,800,0.001,0.868607567,0.890292278
2,5,800,0.011,0.369420076,0.890434052
2,5,800,0.021,0.321161228,1.999583393
2,5,800,0.031,0.359843756,1.999964445
2,5,800,0.041,0.890496205,1.999999309
2,5,800,0.051,0.890429098,1.999995314
2,5,800,0.061,0.890464045,1.999999995
2,5,800,0.071,0.89031668,1.999976278
2,5,800,0.081,0.89046099,1.999998113
2,5,800,0.091,0.890461642,1.999999593
2,5,800,0.101,0.890469739,1.999999522
2,5,1000,0.001,0.84426555,0.890031802
2,5,1000,0.011,0.316131884,0.890429175
2,5,1000,0.021,0.359694028,1.999437026
2,5,1000,0.031,0.330438981,1.999908135
2,5,1000,0.041,0.890484389,1.999999297
2,5,1000,0.051,0.890396888,1.999994736
2,5,1000,0.061,0.890464032,1.999999995
2,5,1000,0.071,0.373021796,1.999884385
2,5,1000,0.081,0.890460889,1.999997965
2,5,1000,0.091,0.890461565,1.999999586
2,5,1000,0.101,0.89046884,1.999999516
2,5,1500,0.001,0.728082676,0.403872269
2,5,1500,0.011,0.338211092,0.890403488
2,5,1500,0.021,0.359308831,1.999528832
2,5,1500,0.031,0.342351414,1.999999485
2,5,1500,0.041,0.890472531,1.999999267
2,5,1500,0.051,0.377496073,1.999992379
2,5,1500,0.061,0.890464002,1.999999995
2,5,1500,0.071,0.348764901,3.999990543
2,5,1500,0.081,0.890460582,1.999997469
2,5,1500,0.091,0.890461324,1.999999566
2,5,1500,0.101,0.89046739,1.9999995
2,5,2000,0.001,0.60340317,0.348714273
2,5,2000,0.011,0.312482741,0.89014725
